jobid,stem,rows,final_iter,final_rt,final_error,final_rel_l1err_archived
495973,SOCMartNet_ShiftTarget_cg10.0_tg3.0_d100_te1.0_s46f_st_d100_s3,1001,1000.0,84.42259,0.010196277,
495974,SOCMartNet_ShiftTarget_cg10.0_tg3.0_d100_te1.0_s46f_st_d100_s4,1001,1000.0,85.434,0.011268695,
495975,SOCMartNet_ShiftTarget_cg10.0_tg3.0_d500_te1.0_s46f_st_d500_s1,1001,1000.0,186.7309,0.0034263358,
495976,SOCMartNet_ShiftTarget_cg10.0_tg3.0_d500_te1.0_s46f_st_d500_s2,1001,1000.0,187.40706,0.0031224245,
495977,SOCMartNet_ShiftTarget_cg10.0_tg3.0_d500_te1.0_s46f_st_d500_s3,1001,1000.0,187.3305,0.0040761903,
495978,SOCMartNet_ShiftTarget_cg10.0_tg3.0_d500_te1.0_s46f_st_d500_s4,1001,1000.0,187.1033,0.002022765,
495979,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_eps1.0_d1000_te1.0_s47f_eps1.0_d1000_s1,4001,4000.0,866.7857,1.7380532,
495980,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_eps1.0_d1000_te1.0_s47f_eps1.0_d1000_s2,4001,4000.0,867.5478,1.7494786,
495981,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_eps1.0_d1000_te1.0_s47f_eps1.0_d1000_s3,4001,4000.0,867.3496,1.7380874,
495982,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_eps1.0_d1000_te1.0_s47f_eps1.0_d1000_s4,4001,4000.0,866.83856,1.7500812,
495983,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_eps0.5_d1000_te1.0_s47f_eps0.5_d1000_s1,4001,4000.0,866.6736,0.8206807,
495984,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_eps0.5_d1000_te1.0_s47f_eps0.5_d1000_s2,4001,4000.0,867.011,0.829886,
495985,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_eps0.5_d1000_te1.0_s47f_eps0.5_d1000_s3,4001,4000.0,866.664,0.8198257,
495986,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_eps0.5_d1000_te1.0_s47f_eps0.5_d1000_s4,4001,4000.0,868.0584,0.82700306,
495987,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_eps0.25_d1000_te1.0_s47f_eps0.25_d1000_s1,4001,4000.0,869.5441,0.36894992,
495988,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_eps0.25_d1000_te1.0_s47f_eps0.25_d1000_s2,4001,4000.0,867.12085,0.37761024,
495989,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_eps0.25_d1000_te1.0_s47f_eps0.25_d1000_s3,4001,4000.0,866.3114,0.36750206,
495990,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_eps0.25_d1000_te1.0_s47f_eps0.25_d1000_s4,4001,4000.0,867.45306,0.37084627,
495991,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_eps0.125_d1000_te1.0_s47f_eps0.125_d1000_s1,4001,4000.0,867.45575,0.21098158,
495992,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_eps0.125_d1000_te1.0_s47f_eps0.125_d1000_s2,4001,4000.0,867.13806,0.21313034,
495993,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_eps0.125_d1000_te1.0_s47f_eps0.125_d1000_s3,4001,4000.0,866.8258,0.20372277,
495994,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_eps0.125_d1000_te1.0_s47f_eps0.125_d1000_s4,4001,4000.0,867.1865,0.18952344,
496077,SOCMartNet_Non-deg_HJBv3_delc0.1_te0.5_d2000_te0.5_s42g_hjb1_d2000_t0.5_s0,1001,1000.0,804.039,0.002607714,
496078,SOCMartNet_Non-deg_HJBv3_delc0.1_te0.10000000149011612_d2000_te0.1_s42g_hjb1_d2000_t0.1_s0,1001,1000.0,802.143,0.019567767,
496079,SOCMartNet_Non-deg_HJBv3_delc0.1_te0.009999999776482582_d2000_te0.01_s42g_hjb1_d2000_t0.01_s0,1001,1000.0,802.0564,0.09238763,
496284,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_d2000_te1.0_s44g_hjb2_lam10,8001,8000.0,1229.0123,0.03601227,
496285,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_d2000_te1.0_s44g_hjb2_lr4,8001,8000.0,1031.7379,0.018362345,
496286,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_d2000_te1.0_s44g_hjb2_lam10lr4,8001,8000.0,1030.6863,0.019112378,
496287,PrabMartNet_Non-deg_HJB_d10_te1.0_s42h_true_d10_t1.0,2,1.0,0.22432113,1.0059472,
496288,PrabMartNet_Non-deg_HJB_d10_te0.1_s42h_true_d10_t0.1,2,1.0,0.3172133,1.0137304,
496289,PrabMartNet_Non-deg_HJB_d10_te0.05_s42h_true_d10_t0.05,2,1.0,0.3636756,1.0155686,
496290,PrabMartNet_Non-deg_HJB_d10_te0.01_s42h_true_d10_t0.01,2,1.0,0.27750278,1.0197318,
496291,SOCMartNet_HJBLQ_b1.0_delta0.1_delc0.3_d2000_te1.0_s44g_hjb3_lr4,8001,8000.0,1221.4424,0.021506218,
496292,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_d10000_te1.0_s44g_hjb2_d1e4lr4,6001,6000.0,15963.368,0.023669966,
496293,SOCMartNet_HJBLQ_b1.0_delta0.1_delc0.3_d10000_te1.0_s44g_hjb3_d1e4lr4,6001,6000.0,15975.832,0.039977033,
496433,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_d10000_te1.0_s44g_hjb2_d1e4b64lr1,6001,6000.0,8982.826,0.019882932,
496434,SOCMartNet_HJBLQ_b1.0_delta0.2_delc0.3_d10000_te1.0_s44g_hjb2_d1e4b64lr4,6001,6000.0,9000.442,0.014372594,
496435,SOCMartNet_HJBLQ_b1.0_delta0.1_delc0.3_d10000_te1.0_s44g_hjb3_d1e4b64lr1,6001,6000.0,8992.412,0.06487477,
496436,SOCMartNet_HJBLQ_b1.0_delta0.1_delc0.3_d10000_te1.0_s44g_hjb3_d1e4b64lr4,6001,6000.0,11805.599,0.03220407,
