s_ptx0.125,vtrue_ptx0.125,vpred_ptx0.125,s_ptx0.25,vtrue_ptx0.25,vpred_ptx0.25,t,re_path_mean5,re_path_sd2x
0.6969697,-0.16904292,-0.150131066,0.6969697,-0.14910714,-0.149954776,0.84000003,0.013746214199999999,0.02207873392
0.7171717,-0.13221535,-0.1139253808,0.7171717,-0.110152364,-0.1137305188,0.85,0.014463711200000002,0.023899014719999997
0.7373737,-0.096915744,-0.08077309880000001,0.7373737,-0.07324003,-0.08049006220000002,0.86,0.013718848799999999,0.02245053764
0.75757575,-0.063329846,-0.0503377684,0.75757575,-0.03847649,-0.049755226799999996,0.87,0.014592673,0.022927841799999998
0.7777778,-0.031683188,-0.022882139,0.7777778,-0.0059329355,-0.021887606999999996,0.88,0.0150468034,0.024006745000000003
0.7979798,-0.0018287854,0.0017546139499999998,0.7979798,0.024284314,0.002883451352,0.89,0.0158327092,0.026174877200000002
0.8181818,0.025980867,0.023476887800000002,0.8181818,0.052177038,0.025025528800000002,0.9,0.0153538636,0.026121736
0.83838385,0.05193712,0.0428062106,0.83838385,0.07772913,0.044919252400000005,0.91,0.0159125772,0.0275048444
0.85858583,0.075858764,0.06078663399999999,0.85858583,0.101028204,0.063106094,0.92,0.016182519700000002,0.0255058826
0.8787879,0.09798327,0.07712039200000001,0.8787879,0.12212642,0.07958985680000001,0.93,0.0179385584,0.027730119200000004
0.8989899,0.11817947,0.091492672,0.8989899,0.14112517,0.094157744,0.94,0.019970219200000004,0.0268739716
0.9191919,0.13658509,0.10403646200000001,0.9191919,0.1581656,0.10688657720000001,0.95,0.021280024600000003,0.029199550399999996
0.93939394,0.1533203,0.11488608,0.93939394,0.17338376,0.11813565879999999,0.96,0.0208876376,0.0279282004
0.959596,0.16848746,0.1241439862,0.959596,0.18687071,0.12780997,0.97,0.022111590999999996,0.028318308599999998
0.97979796,0.18220322,0.13198681080000002,0.97979796,0.19883598,0.135924834,0.98,0.0223202078,0.0321694544
1.0,0.19457334,0.138307418,1.0,0.20943536,0.14235669,0.99,0.0251240018,0.034032638
,,,,,,1.0,0.029236098999999998,0.037919218399999996
